Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Laos,16.992,17.103,17.243,17.404,17.575,17.787,18.133,18.577,19.023,19.469,19.915,20.359,20.797,21.226,21.646,21.985,22.25,22.522,22.801,23.087,23.379,23.673
Latin America and the Caribbean (UN),23.15,23.44,23.742,24.054,24.376,24.702,25.034,25.367,25.703,26.042,26.383,26.725,27.068,27.413,27.758,28.104,28.452,28.805,29.163,29.527,29.881,30.209
Latvia,37.041,37.357,37.663,37.926,38.169,38.42,38.669,38.878,39.105,39.513,40.063,40.561,40.926,41.259,41.565,41.819,42.044,42.251,42.448,42.639,42.821,42.906
Least developed countries,16.994,17.063,17.117,17.176,17.24,17.305,17.372,17.445,17.523,17.603,17.69,17.789,17.897,18.008,18.122,18.24,18.366,18.489,18.606,18.727,18.847,18.958
Lebanon,23.246,23.547,23.863,24.198,24.546,24.911,25.287,25.671,26.063,26.455,26.836,27.2,27.548,27.872,28.17,28.371,28.438,28.414,28.266,27.946,27.813,27.954
Lesotho,18.179,18.345,18.491,18.626,18.759,18.893,19.038,19.2,19.367,19.537,19.705,19.856,19.99,20.119,20.238,20.346,20.448,20.558,20.688,20.838,20.993,21.129
Less developed regions,22.816,23.018,23.216,23.423,23.642,23.871,24.108,24.358,24.605,24.843,25.078,25.321,25.569,25.823,26.087,26.354,26.621,26.885,27.161,27.437,27.699,27.935
"Less developed regions, excluding China",20.597,20.787,20.977,21.176,21.386,21.602,21.825,22.054,22.281,22.503,22.724,22.947,23.169,23.391,23.615,23.841,24.068,24.293,24.516,24.74,24.961,25.164
"Less developed regions, excluding least developed countries",23.84,24.089,24.335,24.58,24.829,25.087,25.356,25.632,25.909,26.193,26.475,26.756,27.032,27.316,27.612,27.921,28.24,28.557,28.885,29.226,29.576,29.916
Liberia,17.173,17.216,17.258,17.295,17.325,17.338,17.326,17.301,17.317,17.345,17.352,17.549,17.682,17.611,17.57,17.57,17.594,17.625,17.682,17.766,17.885,18.024
Libya,21.637,21.832,22.028,22.222,22.407,22.584,22.863,23.244,23.617,23.982,24.336,24.539,24.702,24.944,25.165,25.372,25.578,25.791,26.01,26.235,26.457,26.675
Liechtenstein,35.454,35.882,36.309,36.735,37.16,37.623,38.117,38.613,39.129,39.629,40.095,40.505,40.895,41.356,41.768,42.142,42.515,42.851,43.159,43.386,43.574,43.79
Lithuania,34.99,35.469,35.972,36.457,36.948,37.499,38.01,38.396,38.752,39.137,39.743,40.407,40.869,41.245,41.577,41.897,42.256,42.676,42.997,43.14,43.154,43.052
Low-income countries,16.064,16.074,16.088,16.11,16.147,16.191,16.248,16.322,16.381,16.432,16.5,16.577,16.646,16.697,16.748,16.816,16.914,17.031,17.162,17.303,17.439,17.567
Lower-middle-income countries,20.169,20.359,20.547,20.745,20.958,21.179,21.409,21.645,21.88,22.114,22.349,22.586,22.824,23.063,23.304,23.545,23.789,24.034,24.276,24.522,24.767,24.991
Luxembourg,36.19,36.246,36.539,36.785,36.996,37.22,37.41,37.571,37.697,37.835,37.984,38.071,38.085,38.123,38.204,38.265,38.339,38.417,38.458,38.484,38.557,38.653
Macao,31.525,31.942,32.232,32.444,32.686,32.959,33.243,33.664,34.188,34.726,35.286,35.724,35.905,35.973,36.004,36.048,36.161,36.315,36.497,36.713,36.988,37.375
Madagascar,16.091,16.107,16.127,16.15,16.178,16.222,16.286,16.363,16.451,16.546,16.651,16.776,16.926,17.093,17.274,17.468,17.669,17.87,18.063,18.242,18.407,18.563
